Dist Code,Year,State Code,State Name,Dist Name,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
711,2016,8,Orissa,Puri,2564.33,1371.0,1629.0,1743.665,1400.0,1420.5,2084.0,1505.0,5232.5,4555.0,4190.0,5000.0,4500.0,3478.5,4100.0,3890.0,4837.0
712,2009,8,Orissa,Sambalpur,1671.0,941.0,1196.0,1016.0,905.0,945.0,1000.0,932.0,2950.0,3728.0,2388.0,3075.0,2925.0,2371.0,2800.0,2977.5,2965.0
712,2010,8,Orissa,Sambalpur,1774.0,957.0,1200.0,1150.0,938.0,1030.0,1100.0,1041.5,2315.0,3508.0,2250.0,4550.0,2400.0,2700.0,2549.5,2889.0,4018.0
712,2011,8,Orissa,Sambalpur,1750.0,1020.0,1390.0,1180.0,1032.0,950.0,1131.0,1145.0,3313.0,3260.0,2000.0,2750.0,3250.0,3320.5,3212.5,3031.0,3810.0
712,2012,8,Orissa,Sambalpur,2006.5,1092.0,1428.0,1498.5,1249.5,1013.0,1564.0,1221.0,2750.0,3687.5,4158.0,3450.0,3585.0,3070.0,3371.0,3340.5,3996.0
712,2014,8,Orissa,Sambalpur,2760.0,1254.0,1525.0,1599.0,1288.0,1200.0,1493.0,1238.0,3586.0,4705.0,3700.0,4688.0,3750.0,3267.0,3775.0,3436.0,4200.0
712,2015,8,Orissa,Sambalpur,2833.33,1356.0,1550.0,1675.5,1351.0,2160.0,1665.0,1428.0,4481.0,7318.5,4200.0,4733.0,4333.0,3279.0,4368.5,3325.0,4272.5
712,2016,8,Orissa,Sambalpur,2564.33,1415.0,1623.0,1743.665,1400.0,1675.0,2491.0,1505.0,5232.5,4555.0,4285.0,5300.0,4300.0,3478.5,4100.0,3890.0,4837.0
713,2009,8,Orissa,Sundargarh,1671.0,848.0,1233.0,1016.0,905.0,893.0,961.0,932.0,2226.0,3728.0,2050.0,3075.0,3200.0,2371.0,2800.0,2977.5,2965.0
713,2010,8,Orissa,Sundargarh,1774.0,866.0,1425.0,1150.0,938.0,1000.0,1100.0,1041.5,2315.0,3508.0,2856.0,4550.0,2400.0,2700.0,2549.5,2889.0,4018.0
713,2011,8,Orissa,Sundargarh,1750.0,930.0,1400.0,1180.0,1032.0,1020.0,1131.0,1145.0,3313.0,3260.0,2500.0,3214.0,3250.0,3320.5,3212.5,3031.0,3810.0
713,2012,8,Orissa,Sundargarh,2006.5,1043.0,1395.0,1498.5,1249.5,1202.0,1564.0,1221.0,3453.0,3687.5,2500.0,3265.0,3232.0,3070.0,3371.0,3340.5,3996.0
713,2014,8,Orissa,Sundargarh,2760.0,1256.0,1500.0,1599.0,1288.0,1255.0,1653.5,1238.0,3586.0,4705.0,3600.0,4557.0,3737.0,3267.0,3775.0,3436.0,4200.0
713,2015,8,Orissa,Sundargarh,2833.33,1274.0,1700.0,1675.5,1351.0,1372.5,1678.0,1428.0,4481.0,7318.5,4200.0,4917.0,4400.0,3279.0,4368.5,3325.0,4272.5
713,2016,8,Orissa,Sundargarh,2564.33,1303.0,1720.0,1743.665,1400.0,1400.0,2084.0,1505.0,5232.5,4555.0,4400.0,5417.0,4400.0,3478.5,4100.0,3890.0,4837.0
803,2009,13,West Bengal,Nadia,1634.0,901.0,1375.0,1016.0,905.0,882.5,1040.0,932.0,2747.0,3728.0,2528.5,4999.0,2383.0,2371.0,2800.0,3112.0,2965.0
803,2010,13,West Bengal,Nadia,1774.0,1014.0,1200.0,1150.0,938.0,943.0,1100.0,1041.5,2315.0,3508.0,2856.0,4550.0,2400.0,2700.0,2549.5,3300.0,4018.0
