State Name,Dist Name,Total Irrigation,ANNUAL RAINFALL (Millimeters)
Uttar Pradesh,Pratapgarh,531.6006,839.3684210526316
Uttar Pradesh,Rae-Bareily,601.6134,677.295
Uttar Pradesh,Rampur,507.11799999999994,819.5918918918919
Uttar Pradesh,Saharanpur,707.2526,878.5617021276596
Uttar Pradesh,Shahjahanpur,683.9789,802.6560975609757
Uttar Pradesh,Sitapur,727.0019,900.1046511627907
Uttar Pradesh,Sultanpur,583.4876,845.8725000000001
Uttar Pradesh,Unnao,593.8084,798.8945945945945
Uttar Pradesh,Varanasi,621.9466,898.7369565217392
Uttarakhand,Almorah,273.59309999999994,978.7945945945946
Uttarakhand,Chamoli,263.1634,1184.6953488372094
Uttarakhand,Dehradun,288.5793,1805.8302325581392
Uttarakhand,Garhwal,269.06589999999994,1179.5297297297298
Uttarakhand,Nainital,542.4434,1431.1348837209302
Uttarakhand,Pithorgarh,263.6526,1702.474418604651
Uttarakhand,Tehri Garhwal,271.462,1183.4186046511627
Uttarakhand,Uttar Kashi,265.7964,1490.752380952381
